Сол,Моҳ,Минтақа,Маҳсулот,Ҳаҷми замин (га),Ҳосилнокӣ (т/га),Истеҳсолот (т),Арзиш (сом/т),Воридот (т),Содирот (т),Истеъмолот (т),Худтаъминкуни (%),Ҳарорат (°C),Минтақаи иқлимӣ,Худтаъминкуни
2020,Декабр,Хатлон,Картошка,0.0,0.0,0.0,12538.05,1960.5,0.0,5044.6,38.9,16.3,Водии,Не
2020,Январ,Хатлон,Сабзавот,0.0,0.0,0.0,11627.17,3198.9,0.0,10864.7,29.4,12.0,Водии,Не
2020,Феврал,Хатлон,Сабзавот,0.0,0.0,0.0,7566.93,5758.3,0.0,11035.1,52.2,18.2,Водии,Не
2020,Март,Хатлон,Сабзавот,0.0,0.0,0.0,7567.92,5813.8,0.0,11075.3,52.5,22.0,Водии,Не
2020,Апрел,Хатлон,Сабзавот,0.0,0.0,0.0,10282.81,2924.7,0.0,9640.0,30.3,31.8,Водии,Не
2020,Май,Хатлон,Сабзавот,0.0,0.0,0.0,7448.2,4986.7,0.0,15192.3,32.8,31.3,Водии,Не
2020,Июн,Хатлон,Сабзавот,8733.3,13.96,102483.1,6188.31,0.0,87407.7,15608.0,57.9,34.6,Водии,Не
2020,Июл,Хатлон,Сабзавот,8733.3,14.97,102470.5,5220.74,0.0,48895.5,12118.0,62.4,32.6,Водии,Бале
2020,Август,Хатлон,Сабзавот,8733.3,12.16,97789.6,4348.68,0.0,75748.2,12731.5,60.8,32.0,Водии,Бале
2020,Сентябр,Хатлон,Сабзавот,8733.3,12.93,102554.9,5637.02,0.0,48847.5,15181.2,59.8,33.2,Водии,Бале
2020,Октябр,Хатлон,Сабзавот,0.0,0.0,0.0,7191.93,2968.0,0.0,8670.4,34.2,26.0,Водии,Не
2020,Ноябр,Хатлон,Сабзавот,0.0,0.0,0.0,6744.85,6049.0,0.0,13111.3,46.1,17.4,Водии,Не
2020,Декабр,Хатлон,Сабзавот,0.0,0.0,0.0,8349.35,2866.5,0.0,8912.1,32.2,15.7,Водии,Не
2020,Январ,Хатлон,Гӯшт,0.0,0.0,10466.4,95038.91,0.0,2083.6,5341.9,61.0,8.7,Водии,Бале
2020,Феврал,Хатлон,Гӯшт,0.0,0.0,10305.7,84478.67,0.0,1955.1,4926.2,60.7,7.9,Водии,Бале
2020,Март,Хатлон,Гӯшт,0.0,0.0,11528.9,81052.38,0.0,3044.8,5065.4,61.1,21.6,Водии,Бале
2020,Апрел,Хатлон,Гӯшт,0.0,0.0,11310.5,72868.07,0.0,3899.5,5874.5,62.1,27.6,Водии,Бале
2020,Май,Хатлон,Гӯшт,0.0,0.0,11354.4,83875.19,0.0,2931.7,6275.0,61.9,29.7,Водии,Бале
2020,Июн,Хатлон,Гӯшт,0.0,0.0,11311.1,70225.26,0.0,5948.4,5197.6,60.7,37.3,Водии,Бале
2020,Июл,Хатлон,Гӯшт,0.0,0.0,10569.3,82587.92,0.0,1286.6,7285.5,58.9,41.4,Водии,Не
2020,Август,Хатлон,Гӯшт,0.0,0.0,10442.6,80087.54,0.0,4159.3,5763.5,57.9,37.0,Водии,Не
2020,Сентябр,Хатлон,Гӯшт,0.0,0.0,9809.9,75624.83,0.0,1733.8,7061.0,62.7,34.8,Водии,Бале
2020,Октябр,Хатлон,Гӯшт,0.0,0.0,10363.4,84616.13,0.0,3913.5,5588.3,57.9,29.4,Водии,Не
2020,Ноябр,Хатлон,Гӯшт,0.0,0.0,10292.9,74101.64,0.0,3245.4,5848.8,59.4,19.5,Водии,Бале
2020,Декабр,Хатлон,Гӯшт,0.0,0.0,10264.3,75921.37,0.0,1964.5,5878.9,59.7,13.4,Водии,Бале
2020,Январ,Хатлон,Шир,0.0,0.0,41560.9,9778.26,0.0,7698.1,17994.1,61.5,9.9,Водии,Бале
2020,Феврал,Хатлон,Шир,0.0,0.0,44045.4,10497.7,0.0,20850.5,13327.8,59.6,9.6,Водии,Бале
2020,Март,Хатлон,Шир,0.0,0.0,47036.1,10868.13,0.0,8889.2,16991.3,58.3,24.0,Водии,Не
2020,Апрел,Хатлон,Шир,0.0,0.0,44735.7,10647.91,0.0,13125.0,16341.5,61.3,23.9,Водии,Бале
2020,Май,Хатлон,Шир,0.0,0.0,42825.9,8995.9,0.0,14916.1,16535.6,60.5,31.7,Водии,Бале
2020,Июн,Хатлон,Шир,0.0,0.0,43747.8,10723.71,0.0,6045.1,23066.6,58.6,39.5,Водии,Не
2020,Июл,Хатлон,Шир,0.0,0.0,40955.2,12746.52,0.0,13880.8,21174.0,60.9,41.4,Водии,Бале
2020,Август,Хатлон,Шир,0.0,0.0,42737.3,8998.57,0.0,19195.1,14281.8,57.3,35.1,Водии,Не
2020,Сентябр,Хатлон,Шир,0.0,0.0,39785.4,11127.22,0.0,17742.4,14835.9,59.9,27.2,Водии,Бале
2020,Октябр,Хатлон,Шир,0.0,0.0,41106.1,10586.57,0.0,8471.1,17382.9,57.5,25.5,Водии,Не
2020,Ноябр,Хатлон,Шир,0.0,0.0,42595.7,10470.47,0.0,14930.0,15595.1,57.5,18.7,Водии,Не
2020,Декабр,Хатлон,Шир,0.0,0.0,42943.5,10039.36,0.0,22844.9,14672.0,62.1,20.6,Водии,Бале
2020,Январ,Суғд,Гандум,0.0,0.0,0.0,6392.24,7455.3,0.0,10284.9,59.5,4.9,Нисбатан кӯҳӣ,Бале
2020,Феврал,Суғд,Гандум,0.0,0.0,0.0,6781.8,5475.9,0.0,9542.8,57.4,12.3,Нисбатан кӯҳӣ,Не
2020,Март,Суғд,Гандум,0.0,0.0,0.0,6483.24,8785.0,0.0,12043.6,58.5,11.9,Нисбатан кӯҳӣ,Не
2020,Апрел,Суғд,Гандум,0.0,0.0,0.0,7068.82,6172.5,0.0,11881.4,52.0,18.5,Нисбатан кӯҳӣ,Не
2020,Май,Суғд,Гандум,0.0,0.0,0.0,7044.78,8375.5,0.0,14838.5,55.5,29.0,Нисбатан кӯҳӣ,Не
2020,Июн,Суғд,Гандум,41471.7,3.08,119901.8,4726.41,0.0,42836.0,14681.7,55.4,26.3,Нисбатан кӯҳӣ,Не
2020,Июл,Суғд,Гандум,41471.7,3.31,116443.9,4455.12,0.0,45472.4,11141.7,58.3,29.3,Нисбатан кӯҳӣ,Не
2020,Август,Суғд,Гандум,0.0,0.0,0.0,8508.23,6737.0,0.0,14080.7,47.8,36.0,Нисбатан кӯҳӣ,Не
2020,Сентябр,Суғд,Гандум,0.0,0.0,0.0,6079.25,7627.4,0.0,11001.6,59.1,24.2,Нисбатан кӯҳӣ,Бале
2020,Октябр,Суғд,Гандум,0.0,0.0,0.0,7123.29,6725.1,0.0,11095.1,55.6,17.5,Нисбатан кӯҳӣ,Не
2020,Ноябр,Суғд,Гандум,0.0,0.0,0.0,8649.32,4300.4,0.0,10521.1,40.9,12.7,Нисбатан кӯҳӣ,Не
2020,Декабр,Суғд,Гандум,0.0,0.0,0.0,6502.9,7237.4,0.0,11595.6,56.7,11.2,Нисбатан кӯҳӣ,Не
2020,Январ,Суғд,Картошка,0.0,0.0,0.0,8723.24,4056.0,0.0,8438.8,48.1,6.2,Нисбатан кӯҳӣ,Не
2020,Феврал,Суғд,Картошка,0.0,0.0,0.0,9856.59,4345.5,0.0,6320.5,56.8,14.7,Нисбатан кӯҳӣ,Не
2020,Март,Суғд,Картошка,0.0,0.0,0.0,8022.39,5260.1,0.0,9502.7,54.8,10.8,Нисбатан кӯҳӣ,Не
2020,Апрел,Суғд,Картошка,0.0,0.0,0.0,9596.41,3347.4,0.0,8603.6,38.9,20.2,Нисбатан кӯҳӣ,Не
2020,Май,Суғд,Картошка,6938.3,18.8,136355.4,6107.13,0.0,86323.8,9912.4,58.2,26.8,Нисбатан кӯҳӣ,Не
2020,Июн,Суғд,Картошка,6938.3,18.75,125409.9,6699.41,0.0,42380.4,10006.7,54.7,35.5,Нисбатан кӯҳӣ,Не
2020,Июл,Суғд,Картошка,0.0,0.0,0.0,9570.57,6699.2,0.0,9996.1,54.6,33.2,Нисбатан кӯҳӣ,Не
2020,Август,Суғд,Картошка,0.0,0.0,0.0,9325.08,6308.8,0.0,9141.5,55.4,33.9,Нисбатан кӯҳӣ,Не
2020,Сентябр,Суғд,Картошка,6938.3,23.2,171053.2,5504.43,0.0,63097.5,9131.8,58.0,27.3,Нисбатан кӯҳӣ,Не
2020,Октябр,Суғд,Картошка,0.0,0.0,0.0,9817.81,4289.9,0.0,6715.1,56.9,20.0,Нисбатан кӯҳӣ,Не
2020,Ноябр,Суғд,Картошка,0.0,0.0,0.0,7839.39,4614.9,0.0,7261.4,59.3,11.8,Нисбатан кӯҳӣ,Бале
2020,Декабр,Суғд,Картошка,0.0,0.0,0.0,8400.41,3225.3,0.0,5443.3,55.1,14.3,Нисбатан кӯҳӣ,Не
2020,Январ,Суғд,Сабзавот,0.0,0.0,0.0,6197.91,3539.2,0.0,7037.0,50.3,10.5,Нисбатан кӯҳӣ,Не
2020,Феврал,Суғд,Сабзавот,0.0,0.0,0.0,5212.4,5012.5,0.0,7276.1,55.3,11.1,Нисбатан кӯҳӣ,Не
2020,Март,Суғд,Сабзавот,0.0,0.0,0.0,6407.41,4679.4,0.0,8599.3,54.4,12.1,Нисбатан кӯҳӣ,Не
2020,Апрел,Суғд,Сабзавот,0.0,0.0,0.0,5475.54,4757.5,0.0,8805.0,54.0,25.4,Нисбатан кӯҳӣ,Не
2020,Май,Суғд,Сабзавот,0.0,0.0,0.0,6740.09,4849.0,0.0,10530.3,46.0,28.5,Нисбатан кӯҳӣ,Не
2020,Июн,Суғд,Сабзавот,5339.7,14.56,77541.9,5319.71,0.0,32454.4,9776.6,58.0,30.1,Нисбатан кӯҳӣ,Не
2020,Июл,Суғд,Сабзавот,5339.7,14.0,66697.5,4013.67,0.0,28552.3,11998.8,56.7,31.4,Нисбатан кӯҳӣ,Не
2020,Август,Суғд,Сабзавот,5339.7,13.42,77698.5,4650.06,0.0,19075.3,6508.5,56.1,33.6,Нисбатан кӯҳӣ,Не
2020,Сентябр,Суғд,Сабзавот,5339.7,14.87,65540.3,3836.15,0.0,23646.2,9298.3,59.4,20.3,Нисбатан кӯҳӣ,Бале
2020,Октябр,Суғд,Сабзавот,0.0,0.0,0.0,5686.88,3573.6,0.0,5969.8,58.2,16.3,Нисбатан кӯҳӣ,Не
2020,Ноябр,Суғд,Сабзавот,0.0,0.0,0.0,6640.02,4298.3,0.0,5953.1,56.9,16.5,Нисбатан кӯҳӣ,Не
2020,Декабр,Суғд,Сабзавот,0.0,0.0,0.0,7250.25,3908.7,0.0,7390.7,52.9,15.1,Нисбатан кӯҳӣ,Не
2020,Январ,Суғд,Гӯшт,0.0,0.0,9624.4,63870.4,0.0,3160.0,4043.7,57.5,4.0,Нисбатан кӯҳӣ,Не
2020,Феврал,Суғд,Гӯшт,0.0,0.0,9535.7,69858.72,0.0,2581.4,4605.9,57.5,12.9,Нисбатан кӯҳӣ,Не
2020,Март,Суғд,Гӯшт,0.0,0.0,10186.7,60920.96,0.0,3632.0,4640.5,55.7,10.6,Нисбатан кӯҳӣ,Не
2020,Апрел,Суғд,Гӯшт,0.0,0.0,9886.2,68234.76,0.0,3573.3,5476.1,55.5,19.9,Нисбатан кӯҳӣ,Не
2020,Май,Суғд,Гӯшт,0.0,0.0,9852.2,84280.38,0.0,779.7,7183.0,57.4,20.7,Нисбатан кӯҳӣ,Не
2020,Июн,Суғд,Гӯшт,0.0,0.0,10291.5,69655.5,0.0,3860.7,5506.4,59.4,31.4,Нисбатан кӯҳӣ,Бале
2020,Июл,Суғд,Гӯшт,0.0,0.0,9461.4,75856.23,0.0,2265.9,6725.6,58.6,26.7,Нисбатан кӯҳӣ,Не
2020,Август,Суғд,Гӯшт,0.0,0.0,9100.3,73117.26,0.0,2417.4,4806.9,57.6,29.6,Нисбатан кӯҳӣ,Не
2020,Сентябр,Суғд,Гӯшт,0.0,0.0,9052.3,79765.05,0.0,1996.8,5299.5,55.1,24.1,Нисбатан кӯҳӣ,Не
2020,Октябр,Суғд,Гӯшт,0.0,0.0,8975.7,65473.23,0.0,2228.0,5273.5,56.4,26.5,Нисбатан кӯҳӣ,Не
2020,Ноябр,Суғд,Гӯшт,0.0,0.0,8394.1,66440.38,0.0,1139.7,4876.2,57.8,13.0,Нисбатан кӯҳӣ,Не
2020,Декабр,Суғд,Гӯшт,0.0,0.0,9257.8,63233.71,0.0,1659.4,4084.0,58.1,11.0,Нисбатан кӯҳӣ,Не
2020,Январ,Суғд,Шир,0.0,0.0,34072.1,9151.2,0.0,8917.3,10984.2,56.2,11.6,Нисбатан кӯҳӣ,Не
2020,Феврал,Суғд,Шир,0.0,0.0,35376.1,8109.44,0.0,7979.7,12311.8,57.2,14.2,Нисбатан кӯҳӣ,Не
2020,Март,Суғд,Шир,0.0,0.0,37908.5,8808.88,0.0,13023.5,10621.2,58.4,15.1,Нисбатан кӯҳӣ,Не
2020,Апрел,Суғд,Шир,0.0,0.0,35111.7,9576.81,0.0,20204.5,11018.9,54.4,23.0,Нисбатан кӯҳӣ,Не
2020,Май,Суғд,Шир,0.0,0.0,36427.8,9320.53,0.0,18143.1,12748.6,57.1,27.9,Нисбатан кӯҳӣ,Не
2020,Июн,Суғд,Шир,0.0,0.0,34362.3,8802.59,0.0,6428.1,17430.1,55.1,29.6,Нисбатан кӯҳӣ,Не
2020,Июл,Суғд,Шир,0.0,0.0,34546.8,8876.05,0.0,14172.0,16658.4,57.8,38.3,Нисбатан кӯҳӣ,Не
2020,Август,Суғд,Шир,0.0,0.0,34164.2,8607.41,0.0,10131.5,13351.1,59.4,31.3,Нисбатан кӯҳӣ,Бале
2020,Сентябр,Суғд,Шир,0.0,0.0,32906.1,9741.72,0.0,13287.5,13979.8,55.8,32.5,Нисбатан кӯҳӣ,Не
2020,Октябр,Суғд,Шир,0.0,0.0,32826.1,9511.98,0.0,13553.8,13717.7,55.2,16.3,Нисбатан кӯҳӣ,Не
2020,Ноябр,Суғд,Шир,0.0,0.0,33883.2,8566.44,0.0,18500.6,11819.1,58.3,15.9,Нисбатан кӯҳӣ,Не
2020,Декабр,Суғд,Шир,0.0,0.0,34795.3,8586.16,0.0,14024.8,10323.1,54.2,9.1,Нисбатан кӯҳӣ,Не
2020,Январ,ВМКБ,Гандум,0.0,0.0,0.0,1254.42,2401.4,0.0,3000.0,5.1,-10.9,Кӯҳӣ,Не
2020,Феврал,ВМКБ,Гандум,0.0,0.0,0.0,1085.23,3261.5,0.0,3000.0,5.2,-2.7,Кӯҳӣ,Не
2020,Март,ВМКБ,Гандум,0.0,0.0,0.0,1258.95,1968.4,0.0,3000.0,5.0,4.2,Кӯҳӣ,Не
2020,Апрел,ВМКБ,Гандум,0.0,0.0,0.0,1072.76,2637.1,0.0,3000.0,4.8,8.5,Кӯҳӣ,Не
2020,Май,ВМКБ,Гандум,0.0,0.0,0.0,1276.43,2179.0,0.0,3000.0,5.0,16.8,Кӯҳӣ,Не
2020,Июн,ВМКБ,Гандум,5755.9,0.65,3817.4,1246.39,0.0,54.1,3000.0,4.8,16.4,Кӯҳӣ,Не
2020,Июл,ВМКБ,Гандум,5755.9,0.58,3381.0,1037.55,0.0,32.8,3000.0,5.2,14.6,Кӯҳӣ,Не
2020,Август,ВМКБ,Гандум,0.0,0.0,0.0,1169.04,2077.2,0.0,3000.0,5.1,14.0,Кӯҳӣ,Не
2020,Сентябр,ВМКБ,Гандум,0.0,0.0,0.0,1099.69,2557.1,0.0,3000.0,5.1,9.9,Кӯҳӣ,Не
2020,Октябр,ВМКБ,Гандум,0.0,0.0,0.0,1103.28,2739.3,0.0,3000.0,5.2,1.8,Кӯҳӣ,Не
2020,Ноябр,ВМКБ,Гандум,0.0,0.0,0.0,1258.07,2003.3,0.0,3000.0,4.8,1.3,Кӯҳӣ,Не
2020,Декабр,ВМКБ,Гандум,0.0,0.0,0.0,1315.72,1949.8,0.0,3000.0,5.0,-2.4,Кӯҳӣ,Не
2020,Январ,ВМКБ,Картошка,0.0,0.0,0.0,1250.04,2097.0,0.0,2000.0,5.0,-7.8,Кӯҳӣ,Не
2020,Феврал,ВМКБ,Картошка,0.0,0.0,0.0,1679.71,1706.4,0.0,2000.0,5.2,-3.3,Кӯҳӣ,Не
2020,Март,ВМКБ,Картошка,0.0,0.0,0.0,1356.25,2335.0,0.0,2263.5,5.2,3.9,Кӯҳӣ,Не
2020,Апрел,ВМКБ,Картошка,0.0,0.0,0.0,1379.82,2192.0,0.0,2219.2,5.1,3.0,Кӯҳӣ,Не
2020,Май,ВМКБ,Картошка,1714.0,4.57,6971.0,1263.54,0.0,392.7,2445.5,5.2,16.6,Кӯҳӣ,Не
2020,Июн,ВМКБ,Картошка,1714.0,4.25,6910.7,1273.14,0.0,129.1,2687.2,5.1,15.4,Кӯҳӣ,Не
2020,Июл,ВМКБ,Картошка,0.0,0.0,0.0,1316.69,2121.1,0.0,2000.0,4.9,14.7,Кӯҳӣ,Не
2020,Август,ВМКБ,Картошка,0.0,0.0,0.0,1517.03,2255.0,0.0,2823.0,5.2,13.7,Кӯҳӣ,Не
2020,Сентябр,ВМКБ,Картошка,1714.0,4.38,7740.4,1385.86,0.0,252.9,2063.6,5.1,14.3,Кӯҳӣ,Не
2020,Октябр,ВМКБ,Картошка,0.0,0.0,0.0,1519.69,2416.0,0.0,2188.5,5.1,6.7,Кӯҳӣ,Не
2020,Ноябр,ВМКБ,Картошка,0.0,0.0,0.0,1385.01,2023.9,0.0,2000.0,5.2,3.8,Кӯҳӣ,Не
2020,Декабр,ВМКБ,Картошка,0.0,0.0,0.0,1630.84,1333.8,0.0,2000.0,5.1,-5.8,Кӯҳӣ,Не
2020,Январ,ВМКБ,Сабзавот,0.0,0.0,0.0,863.26,2739.4,0.0,2500.0,4.8,-1.8,Кӯҳӣ,Не
2020,Феврал,ВМКБ,Сабзавот,0.0,0.0,0.0,1329.61,1670.5,0.0,2500.0,4.8,-1.7,Кӯҳӣ,Не
2020,Март,ВМКБ,Сабзавот,0.0,0.0,0.0,1051.3,2739.7,0.0,2500.0,5.0,1.9,Кӯҳӣ,Не
2020,Апрел,ВМКБ,Сабзавот,0.0,0.0,0.0,1036.57,2338.4,0.0,2500.0,5.1,4.1,Кӯҳӣ,Не
2020,Май,ВМКБ,Сабзавот,0.0,0.0,0.0,935.42,1797.1,0.0,2500.0,5.0,12.2,Кӯҳӣ,Не
2020,Июн,ВМКБ,Сабзавот,958.3,3.03,2626.9,1036.98,0.0,4.2,2500.0,4.9,14.5,Кӯҳӣ,Не
2020,Июл,ВМКБ,Сабзавот,958.3,2.62,2341.1,1189.18,168.2,0.0,2500.0,5.2,19.2,Кӯҳӣ,Не
2020,Август,ВМКБ,Сабзавот,958.3,2.79,2368.2,905.76,134.2,0.0,2500.0,4.8,17.1,Кӯҳӣ,Не
2020,Сентябр,ВМКБ,Сабзавот,958.3,3.01,3046.7,1115.17,0.0,41.4,2500.0,4.8,11.3,Кӯҳӣ,Не
2020,Октябр,ВМКБ,Сабзавот,0.0,0.0,0.0,1152.01,2515.1,0.0,2500.0,5.1,6.2,Кӯҳӣ,Не
2020,Ноябр,ВМКБ,Сабзавот,0.0,0.0,0.0,1009.08,2772.9,0.0,2500.0,5.0,3.4,Кӯҳӣ,Не
2020,Декабр,ВМКБ,Сабзавот,0.0,0.0,0.0,1179.18,1547.5,0.0,2500.0,5.1,-3.2,Кӯҳӣ,Не
2020,Январ,ВМКБ,Гӯшт,0.0,0.0,2886.9,14878.19,0.0,37.3,1500.0,5.0,-11.5,Кӯҳӣ,Не
2020,Феврал,ВМКБ,Гӯшт,0.0,0.0,2866.8,15277.33,0.0,119.2,1500.0,5.1,-1.8,Кӯҳӣ,Не
2020,Март,ВМКБ,Гӯшт,0.0,0.0,2821.9,14434.42,0.0,81.6,1524.8,5.1,-3.7,Кӯҳӣ,Не
2020,Апрел,ВМКБ,Гӯшт,0.0,0.0,3062.8,13453.28,0.0,42.8,1830.5,5.0,11.4,Кӯҳӣ,Не
2020,Май,ВМКБ,Гӯшт,0.0,0.0,3062.1,13272.49,0.0,38.0,1694.2,5.0,16.6,Кӯҳӣ,Не
2020,Июн,ВМКБ,Гӯшт,0.0,0.0,2979.9,12928.24,0.0,103.3,1784.7,5.2,16.8,Кӯҳӣ,Не
2020,Июл,ВМКБ,Гӯшт,0.0,0.0,2841.7,13832.09,0.0,39.2,2088.5,5.0,24.7,Кӯҳӣ,Не
2020,Август,ВМКБ,Гӯшт,0.0,0.0,2917.4,15568.52,0.0,76.7,2040.9,4.8,20.8,Кӯҳӣ,Не
2020,Сентябр,ВМКБ,Гӯшт,0.0,0.0,2829.0,12530.27,0.0,63.6,1560.5,5.2,7.2,Кӯҳӣ,Не
2020,Октябр,ВМКБ,Гӯшт,0.0,0.0,2790.0,14645.64,0.0,96.4,1567.4,5.1,1.5,Кӯҳӣ,Не
2020,Ноябр,ВМКБ,Гӯшт,0.0,0.0,2599.5,15229.54,0.0,36.0,1500.0,5.2,-0.0,Кӯҳӣ,Не
2020,Декабр,ВМКБ,Гӯшт,0.0,0.0,2841.5,12950.04,0.0,40.4,1500.0,5.0,-1.0,Кӯҳӣ,Не
2020,Январ,ВМКБ,Шир,0.0,0.0,9552.6,1570.09,0.0,387.8,4000.0,5.2,-4.4,Кӯҳӣ,Не
2020,Феврал,ВМКБ,Шир,0.0,0.0,9878.8,1880.12,0.0,440.8,4000.0,5.2,-6.4,Кӯҳӣ,Не
2020,Март,ВМКБ,Шир,0.0,0.0,10486.7,1624.32,0.0,186.8,4000.0,5.1,3.8,Кӯҳӣ,Не
2020,Апрел,ВМКБ,Шир,0.0,0.0,10352.3,1717.02,0.0,279.0,4000.0,5.2,5.2,Кӯҳӣ,Не
2020,Май,ВМКБ,Шир,0.0,0.0,10736.8,1606.83,0.0,499.3,4013.5,4.8,11.0,Кӯҳӣ,Не
2020,Июн,ВМКБ,Шир,0.0,0.0,10091.3,1730.36,0.0,242.6,5259.0,5.2,13.4,Кӯҳӣ,Не
2020,Июл,ВМКБ,Шир,0.0,0.0,9865.7,1808.25,0.0,312.0,5471.8,5.0,16.5,Кӯҳӣ,Не
2020,Август,ВМКБ,Шир,0.0,0.0,9948.5,1592.2,0.0,313.2,4000.0,5.1,12.7,Кӯҳӣ,Не
2020,Сентябр,ВМКБ,Шир,0.0,0.0,9080.5,1867.49,0.0,133.9,4000.0,4.8,9.3,Кӯҳӣ,Не
2020,Октябр,ВМКБ,Шир,0.0,0.0,10027.5,1887.54,0.0,278.4,4082.0,5.1,4.0,Кӯҳӣ,Не
2020,Ноябр,ВМКБ,Шир,0.0,0.0,8874.3,1684.41,0.0,248.7,4000.0,4.8,3.4,Кӯҳӣ,Не
2020,Декабр,ВМКБ,Шир,0.0,0.0,9513.7,1739.82,0.0,225.9,4000.0,4.9,1.0,Кӯҳӣ,Не
2020,Январ,НТҶ,Гандум,0.0,0.0,0.0,2521.85,6185.4,0.0,5130.2,25.7,15.3,Мухталиф,Не
2020,Феврал,НТҶ,Гандум,0.0,0.0,0.0,3104.53,5793.4,0.0,4158.6,25.5,9.9,Мухталиф,Не
2020,Март,НТҶ,Гандум,0.0,0.0,0.0,2559.2,7123.3,0.0,6524.6,25.1,17.2,Мухталиф,Не
2020,Апрел,НТҶ,Гандум,0.0,0.0,0.0,2953.03,6653.2,0.0,8102.3,25.3,27.8,Мухталиф,Не
2020,Май,НТҶ,Гандум,0.0,0.0,0.0,2515.9,7665.0,0.0,6290.9,25.4,30.0,Мухталиф,Не
2020,Июн,НТҶ,Гандум,22669.4,2.39,45978.9,2028.7,0.0,5993.6,8138.1,24.8,28.0,Мухталиф,Не
2020,Июл,НТҶ,Гандум,22669.4,2.04,45214.8,2108.29,0.0,9354.2,7796.9,25.7,35.4,Мухталиф,Не
2020,Август,НТҶ,Гандум,0.0,0.0,0.0,2565.65,9708.5,0.0,6764.0,25.2,34.1,Мухталиф,Не
2020,Сентябр,НТҶ,Гандум,0.0,0.0,0.0,2320.71,5695.6,0.0,6236.4,25.2,26.1,Мухталиф,Не
2020,Октябр,НТҶ,Гандум,0.0,0.0,0.0,2353.1,8913.0,0.0,6804.9,25.4,20.0,Мухталиф,Не
2020,Ноябр,НТҶ,Гандум,0.0,0.0,0.0,2426.46,7507.3,0.0,5173.3,24.3,13.1,Мухталиф,Не
2020,Декабр,НТҶ,Гандум,0.0,0.0,0.0,2340.89,5904.7,0.0,4653.6,25.8,18.4,Мухталиф,Не
